145,LA,ratchet,Fri Jul 13 18:37:29 +0000 2018
146,CA,lit,Fri Jul 13 18:37:31 +0000 2018
147,CA,lit,Fri Jul 13 18:37:34 +0000 2018
148,ND,lit,Fri Jul 13 18:37:34 +0000 2018
149,CA,lit,Fri Jul 13 18:37:34 +0000 2018
150,ND,lit,Fri Jul 13 18:37:34 +0000 2018
151,CA,lit,Fri Jul 13 18:37:34 +0000 2018
152,ND,lit,Fri Jul 13 18:37:34 +0000 2018
153,CA,lit,Fri Jul 13 18:37:34 +0000 2018
154,ND,lit,Fri Jul 13 18:37:34 +0000 2018
155,NM,lit,Fri Jul 13 18:37:40 +0000 2018
156,AL,lit,Fri Jul 13 18:37:46 +0000 2018
157,TX,lit,Fri Jul 13 18:37:49 +0000 2018
158,WA,lit,Fri Jul 13 18:37:51 +0000 2018
159,NC,lit,Fri Jul 13 18:37:58 +0000 2018
160,IL,lit,Fri Jul 13 18:38:00 +0000 2018
161,NY,lit,Fri Jul 13 18:38:02 +0000 2018
162,FL,ratchet,Fri Jul 13 18:38:04 +0000 2018
163,GA,lit,Fri Jul 13 18:38:12 +0000 2018
164,CA,lit,Fri Jul 13 18:38:23 +0000 2018
165,TX,lit,Fri Jul 13 18:38:25 +0000 2018
166,TX,lit,Fri Jul 13 18:38:33 +0000 2018
167,NY,lit,Fri Jul 13 18:38:34 +0000 2018
168,NY,adulting,Fri Jul 13 18:38:35 +0000 2018
169,CA,lit,Fri Jul 13 18:38:45 +0000 2018
170,TX,ratchet,Fri Jul 13 18:38:46 +0000 2018
171,TX,adulting,Fri Jul 13 18:38:47 +0000 2018
172,NY,lit,Fri Jul 13 18:39:04 +0000 2018
173,TX,lit,Fri Jul 13 18:39:08 +0000 2018
174,CA,lit,Fri Jul 13 18:39:17 +0000 2018
175,NY,adulting,Fri Jul 13 18:39:20 +0000 2018
176,NY,lit,Fri Jul 13 18:39:36 +0000 2018
177,CA,lit,Fri Jul 13 18:39:42 +0000 2018
178,NY,adulting,Fri Jul 13 18:39:44 +0000 2018
